PATTERN;SEQ;ALL_TIME;TAB_TIME
10000;224000000;1,561;0
10000;224500000;1,542;0,001
10000;225000000;1,551;0
10000;225500000;1,592;0
10000;226000000;4,116;0
10000;226500000;1,628;0
10000;227000000;4,061;0
10000;227500000;1,604;0
10000;228000000;1,594;0
10000;228500000;1,623;0
10000;229000000;1,599;0
10000;229500000;4,17;0
10000;230000000;1,627;0
10000;230500000;1,586;0
10000;231000000;4,122;0
10000;231500000;1,663;0
10000;232000000;4,252;0,001
10000;232500000;1,642;0
10000;233000000;1,624;0
10000;233500000;4,144;0
10000;234000000;1,645;0
10000;234500000;4,239;0
10000;235000000;1,692;0,001
10000;235500000;1,64;0
10000;236000000;1,653;0
10000;236500000;1,671;0
10000;237000000;4,27;0
10000;237500000;4,362;0
10000;238000000;4,313;0,001
10000;238500000;1,706;0
10000;239000000;1,694;0
10000;239500000;1,684;0
10000;240000000;1,678;0
10000;240500000;1,728;0
10000;241000000;1,704;0,001
10000;241500000;4,413;0
10000;242000000;1,755;0
10000;242500000;1,672;0
10000;243000000;4,262;0
10000;243500000;4,457;0,001
10000;244000000;4,442;0
10000;244500000;4,327;0
10000;245000000;1,733;0
10000;245500000;1,722;0
10000;246000000;1,73;0
10000;246500000;1,734;0
10000;247000000;1,74;0
10000;247500000;1,726;0
10000;248000000;4,531;0
10000;248500000;1,756;0
10000;249000000;1,728;0
10000;249500000;1,746;0
10000;250000000;4,428;0
10000;250500000;4,432;0
10000;251000000;1,782;0
10000;251500000;1,794;0
10000;252000000;4,42;0
10000;252500000;4,573;0
10000;253000000;1,828;0
10000;253500000;1,793;0
10000;254000000;4,517;0
10000;254500000;4,584;0
10000;255000000;1,798;0
10000;255500000;1,792;0
10000;256000000;1,82;0
10000;256500000;1,811;0
10000;257000000;4,448;0,001
10000;257500000;4,578;0
10000;258000000;1,887;0,001
10000;258500000;1,792;0
10000;259000000;1,82;0
10000;259500000;4,546;0,001
10000;260000000;1,848;0
10000;260500000;1,794;0
10000;261000000;4,435;0
10000;261500000;1,857;0
10000;262000000;4,582;0
10000;262500000;1,891;0
10000;263000000;1,869;0
10000;263500000;1,82;0,001
10000;264000000;1,862;0,001
10000;264500000;1,875;0
10000;265000000;1,929;0
10000;265500000;1,892;0
10000;266000000;1,848;0
10000;266500000;1,865;0
10000;267000000;4,576;0
10000;267500000;1,898;0
10000;268000000;1,882;0,001
10000;268500000;4,686;0
10000;269000000;1,959;0,001
10000;269500000;4,625;0
10000;270000000;4,607;0
10000;270500000;1,928;0
10000;271000000;4,769;0
10000;271500000;2,165;0,001
10000;272000000;1,996;0
10000;272500000;2,201;0
10000;273000000;1,992;0
10000;273500000;1,944;0
10000;274000000;1,965;0
10000;274500000;1,917;0
10000;275000000;1,921;0
10000;275500000;1,962;0
10000;276000000;1,936;0
10000;276500000;1,945;0
10000;277000000;1,937;0,001
10000;277500000;1,98;0
10000;278000000;1,96;0
10000;278500000;1,987;0
10000;279000000;4,709;0
10000;279500000;4,72;0
10000;280000000;1,978;0,001
10000;280500000;1,979;0
10000;281000000;1,969;0
10000;281500000;2,011;0
10000;282000000;1,987;0
10000;282500000;2,007;0
10000;283000000;2,122;0
10000;283500000;2,053;0
10000;284000000;2,001;0
10000;284500000;2,152;0
10000;285000000;2,066;0
10000;285500000;5,077;0,001
10000;286000000;2,104;0
10000;286500000;2,039;0
10000;287000000;2,266;0
10000;287500000;2,194;0
10000;288000000;2,074;0
10000;288500000;2,025;0
10000;289000000;4,955;0
10000;289500000;2,091;0
10000;290000000;2,032;0,001
10000;290500000;2,128;0
10000;291000000;2,069;0
10000;291500000;4,963;0
10000;292000000;2,355;0
10000;292500000;2,106;0
10000;293000000;2,316;0
10000;293500000;5,414;0
10000;294000000;2,208;0,001
10000;294500000;4,957;0
10000;295000000;5,003;0,001
10000;295500000;2,136;0
10000;296000000;2,113;0
10000;296500000;2,09;0
10000;297000000;2,079;0
10000;297500000;4,987;0
10000;298000000;2,146;0
10000;298500000;5,011;0
10000;299000000;2,157;0
10000;299500000;2,135;0
